task,model,input_tokens,output_tokens,total_tokens,latency_sec,estimated_cost_usd,extra
flat_rag_answering,gpt-4o-mini,463,50,513,1.4459521689996109,9.944999999999999e-05,{}
query_entity_extraction,gpt-4o-mini,638,31,669,0.8802009000000908,0.0001143,{}
graphrag_answering,gpt-4o-mini,3314,138,3452,2.7528737770007865,0.0005799,{}
flat_rag_embedding,text-embedding-3-small,14,0,14,0.18813826299992797,2.8e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,530,93,623,2.650194592999469,0.00013529999999999998,{}
query_entity_extraction,gpt-4o-mini,641,294,935,4.843565281000338,0.00027255,{}
graphrag_answering,gpt-4o-mini,2480,222,2702,4.068528642000274,0.0005051999999999999,{}
flat_rag_embedding,text-embedding-3-small,14,0,14,0.1334157139999661,2.8e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,484,62,546,1.4012860170005297,0.00010980000000000001,{}
query_entity_extraction,gpt-4o-mini,641,16,657,0.7066970089999813,0.00010575,{}
graphrag_answering,gpt-4o-mini,2609,184,2793,3.2708469579993107,0.00050175,{}
flat_rag_embedding,text-embedding-3-small,24,0,24,0.1513344449995202,4.800000000000001e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,539,36,575,0.9977475460000278,0.00010245,{}
query_entity_extraction,gpt-4o-mini,650,31,681,1.2557873369996742,0.0001161,{}
graphrag_answering,gpt-4o-mini,3333,179,3512,3.6150021799994647,0.00060735,{}
flat_rag_embedding,text-embedding-3-small,17,0,17,0.13265508600034082,3.4000000000000003e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,531,42,573,0.9971714180001072,0.00010485,{}
query_entity_extraction,gpt-4o-mini,644,13,657,0.5014576240000679,0.0001044,{}
graphrag_answering,gpt-4o-mini,3314,121,3435,2.6798558110003796,0.0005697,{}
flat_rag_embedding,text-embedding-3-small,11,0,11,0.19769078900026216,2.2e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,453,39,492,1.3960646460000135,9.135e-05,{}
query_entity_extraction,gpt-4o-mini,638,36,674,2.1881131689997346,0.00011729999999999999,{}
graphrag_answering,gpt-4o-mini,3306,64,3370,1.3739820509999845,0.0005342999999999999,{}
flat_rag_embedding,text-embedding-3-small,15,0,15,0.13437280600010126,3.0000000000000004e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,515,32,547,0.7446441780002715,9.645000000000001e-05,{}
query_entity_extraction,gpt-4o-mini,642,21,663,0.8599322820000452,0.00010889999999999999,{}
graphrag_answering,gpt-4o-mini,2836,151,2987,4.654088487000081,0.000516,{}
flat_rag_embedding,text-embedding-3-small,9,0,9,0.17687785399994027,1.8e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,480,19,499,0.9698124310007188,8.340000000000001e-05,{}
query_entity_extraction,gpt-4o-mini,636,12,648,1.1622439239999949,0.00010259999999999999,{}
graphrag_answering,gpt-4o-mini,932,149,1081,4.313884786999552,0.0002292,{}
flat_rag_embedding,text-embedding-3-small,12,0,12,0.14944389399988722,2.4000000000000003e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,475,21,496,0.7248130520001723,8.384999999999999e-05,{}
query_entity_extraction,gpt-4o-mini,639,39,678,0.9771830560002854,0.00011925,{}
graphrag_answering,gpt-4o-mini,3315,96,3411,2.2910602389993073,0.00055485,{}
flat_rag_embedding,text-embedding-3-small,16,0,16,0.20172932200057403,3.2e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,532,78,610,1.8473826050003481,0.0001266,{}
query_entity_extraction,gpt-4o-mini,643,20,663,0.6522639409995463,0.00010845000000000001,{}
graphrag_answering,gpt-4o-mini,3325,140,3465,2.664971086999685,0.0005827499999999999,{}
flat_rag_embedding,text-embedding-3-small,16,0,16,0.19308176300000923,3.2e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,528,18,546,0.6218329410003207,9e-05,{}
query_entity_extraction,gpt-4o-mini,643,13,656,0.47402662500007864,0.00010425,{}
graphrag_answering,gpt-4o-mini,2915,33,2948,1.097397767000075,0.00045704999999999997,{}
flat_rag_embedding,text-embedding-3-small,21,0,21,0.4098740869994799,4.2e-07,{'n_texts': 1}
flat_rag_answering,gpt-4o-mini,513,111,624,1.8964493729999958,0.00014355,{}
query_entity_extraction,gpt-4o-mini,648,56,704,1.5577832709996073,0.0001308,{}
graphrag_answering,gpt-4o-mini,3317,300,3617,3.7069785080002475,0.0006775500000000001,{}
